City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
638,Cockburn Town,TC,87.8,scattered clouds,21.46,-71.14,Osprey Beach Hotel
640,Turkmenabat,TM,80.6,clear sky,39.07,63.58,Jeyhun Oteli
642,Na Wa,TH,78.19,moderate rain,17.49,104.1,อบต.นาคูณใหญ่
647,Eskil,TR,77.76,clear sky,38.4,33.41,Eskil Öğretmen Evi
648,Cap Malheureux,MU,70.0,light rain,-19.98,57.61,Pereybere Hotel & Spa
649,Prnjavor,BA,82.4,broken clouds,44.87,17.66,Hotel City
651,Denizli,TR,87.8,clear sky,37.84,29.07,Anemon Denizli Hotel
652,Trapani,IT,87.8,few clouds,37.83,12.67,
654,Nhulunbuy,AU,75.2,broken clouds,-12.23,136.77,East Arnhem Real Estate
658,Dongkan,CN,76.91,overcast clouds,34.0,119.83,Triumphal Resort
659,Tucumcari,US,86.0,clear sky,35.17,-103.72,Holiday Inn Express & Suites Tucumcari
661,Bintulu,MY,78.8,scattered clouds,3.17,113.03,900 Boutique INN
662,Batticaloa,LK,81.3,overcast clouds,7.71,81.69,Grand Star Guest House
664,Saint Anthony,US,75.99,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
665,Nouakchott,MR,87.8,dust,18.09,-15.98,Hôtel Iman
668,Belmonte,BR,78.8,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
669,Mindelo,CV,87.8,scattered clouds,16.89,-24.98,Hotel Gaudi
671,Kawardha,IN,77.63,clear sky,22.02,81.25,STARiHOTELS Raipur Road kawardha
672,Suez,EG,82.18,clear sky,29.97,32.53,Green House
673,Praia Da Vitoria,PT,82.4,scattered clouds,38.73,-27.07,Hotel Branco I
674,Dabhol,IN,76.73,light rain,17.6,73.17,ARNI Atlantica
679,Japura,ID,74.01,light rain,-0.32,102.35,Rumah mbah Jamah
681,Pipri,IN,72.97,scattered clouds,19.8,75.53,Sukhana River nilu and rushi home
682,Palimbang,PH,79.27,overcast clouds,6.21,124.19,Felmar Beach resort
685,Rock Sound,BS,83.82,broken clouds,24.9,-76.2,Rock Sound Club
686,Surt,LY,81.18,clear sky,31.21,16.59,City Hotel
689,Karatau,KZ,71.6,clear sky,43.17,70.47,Gor.bol'nitsa
690,Kilindoni,TZ,76.55,clear sky,-7.91,39.67,Bustani B&B
691,Panzhihua,CN,72.81,moderate rain,26.59,101.71,Electric Power Hotel
693,Srivardhan,IN,79.38,light rain,18.03,73.02,Savli Resort/Hotel - Shrivardhan
696,Gashua,NG,85.93,scattered clouds,12.87,11.05,Forte Oil - Old Lorry Park
698,Pangai,TO,77.0,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
700,Appleton,US,72.0,scattered clouds,44.26,-88.42,La Quinta Inn & Suites by Wyndham Appleton College Avenue
701,Nouadhibou,MR,80.6,sand,20.93,-17.03,El Medina
705,Sibolga,ID,76.32,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
706,Maturin,VE,87.94,light rain,9.75,-63.18,Residencias Guaritos I
